arm,complete,encoding,fields,mean_delivery_ms,mean_execution_ms,mean_online_afp,mean_online_ms,mean_planning_ms,median_online_ms,planned_runs,quality
direct-cheap,True,"{""canonical"": 12}","{""pass"": 9, ""fail"": 3}",12320.382611088766,4431.72119098017,1.35775,16752.636604224488,0.5328021555518111,16582.749895518646,12,"{""pending"": 9, ""fail"": 3}"
direct-mid,True,"{""canonical"": 11, ""unverified"": 1}","{""pass"": 9, ""unverified"": 1, ""fail"": 2}",11913.69955210636,7120.691999987078,1.808,19034.79687842385,0.405326330413421,19645.65464586485,12,"{""pending"": 9, ""fail"": 3}"
direct-strong,True,"{""canonical"": 12}","{""pass"": 12}",12188.097749991963,5082.474847168972,1.7981291666666668,17270.8450172989,0.2724201379654308,16758.95647937432,12,"{""pending"": 11, ""fail"": 1}"
task-selector,True,"{""canonical"": 12}","{""pass"": 10, ""fail"": 2}",12857.043222291395,4310.406239548077,1.3648208333333334,18765.23437156963,1597.7849097301562,17994.199562468566,12,"{""pending"": 10, ""fail"": 2}"
shared-single-1,True,"{""canonical"": 12}","{""pass"": 11, ""fail"": 1}",11884.963097264214,13846.962402749341,3.335995833333333,25732.309482758865,0.38398274530967075,25603.940104483627,12,"{""pending"": 10, ""fail"": 2}"
shared-single-2,True,"{""canonical"": 12}","{""pass"": 10, ""fail"": 2}",12246.05782298992,12662.55452419864,3.3539749999999997,24909.239451342728,0.627104154167076,25383.11412499752,12,"{""pending"": 10, ""fail"": 2}"
shared-heterogeneous-1,True,"{""canonical"": 12}","{""pass"": 10, ""fail"": 2}",12316.99981940134,16408.395992960624,2.7731833333333333,28725.79196508741,0.396152725443244,29083.91585398931,12,"{""pending"": 9, ""fail"": 3}"
shared-heterogeneous-2,True,"{""canonical"": 12}","{""pass"": 10, ""fail"": 2}",12900.519750119807,14047.768440912478,2.6593125,26949.050100675475,0.7619096431881189,26638.938853982836,12,"{""pending"": 10, ""fail"": 2}"
auto-heterogeneous,True,"{""canonical"": 12}","{""pass"": 11, ""fail"": 1}",13819.42821534661,10789.845756914778,2.4155625,27656.54173619502,3047.2677639336325,26794.517041533254,12,"{""pending"": 11, ""fail"": 1}"
