arm,complete,encoding,fields,mean_delivery_ms,mean_execution_ms,mean_online_afp,mean_online_ms,mean_planning_ms,median_online_ms,planned_runs,quality
direct-cheap,True,"{""canonical"": 6}","{""pass"": 6}",21.454583193796378,54.66641668075075,0.1575,76.31191653975596,0.1909166652088364,64.89645794499665,6,"{""pending"": 6}"
direct-mid,True,"{""canonical"": 6}","{""pass"": 6}",18.206562420042854,46.77897214423865,0.1875,65.14129838130127,0.1557638170197606,69.1427499987185,6,"{""pending"": 6}"
direct-strong,True,"{""canonical"": 6}","{""pass"": 6}",25.136625200199585,49.706527536424495,0.23249999999999998,75.02172937771927,0.17857664109518132,71.66402111761272,6,"{""pending"": 6}"
task-selector,True,"{""canonical"": 6}","{""pass"": 6}",22.3984302720055,53.54416700235257,0.195,97.60409709997475,21.661499825616676,94.90397945046425,6,"{""pending"": 6}"
shared-single-1,True,"{""canonical"": 6}","{""pass"": 6}",18.97020129642139,109.61890981222193,0.3975,128.8083262819176,0.21921517327427864,146.22129185590893,6,"{""pending"": 6}"
shared-single-2,True,"{""canonical"": 6}","{""pass"": 6}",22.517173861463863,121.7241109892105,0.3975,144.46064620278776,0.219361352113386,138.81529204081744,6,"{""pending"": 6}"
shared-heterogeneous-1,True,"{""canonical"": 6}","{""pass"": 6}",20.985715518084664,113.8547359732911,0.2475,135.08754188660532,0.24709039522955814,120.07268751040101,6,"{""pending"": 6}"
shared-heterogeneous-2,True,"{""canonical"": 6}","{""pass"": 6}",20.0936037581414,121.39254187544186,0.2475,141.7766318190843,0.2904861855010192,123.15066647715867,6,"{""pending"": 6}"
auto-heterogeneous,True,"{""canonical"": 6}","{""pass"": 6}",21.456583092610042,185.62838881431767,0.255,229.13445144270858,22.049479535780847,195.1600209577009,6,"{""pending"": 6}"
